codigo,segmentacao,projeto,ingestion_date
BBET0001,D,BikeBH,2026-02-14
BBET0001,D,BikeBH,2026-02-16
BBET0001,D,BikeBH,2026-02-12
BBET0001,D,BikeBH,2026-02-10
BBET0001,D,BikeBH,2026-02-15
BBET0001,D,BikeBH,2026-02-22
BBET0001,D,BikeBH,2026-02-17
BBET0001,D,BikeBH,2026-02-20
BBET0001,D,BikeBH,2026-02-13
BBET0001,D,BikeBH,2026-02-23
BBET0001,D,BikeBH,2026-02-09
BBET0001,D,BikeBH,2026-02-11
BBET0001,D,BikeBH,2026-02-21
BBET0001,D,BikeBH,2026-02-19
BBET0001,D,BikeBH,2026-02-18
BBET0001,D,BikeBH,2026-02-08
BBET0001,D,BikeBH,2026-02-07
BBET0003,D,BikeBH,2026-02-21
BBET0003,D,BikeBH,2026-02-18
BBET0003,D,BikeBH,2026-02-07
BBET0003,D,BikeBH,2026-02-19
BBET0003,D,BikeBH,2026-02-15
BBET0003,D,BikeBH,2026-02-20
BBET0003,D,BikeBH,2026-02-12
BBET0003,D,BikeBH,2026-02-08
BBET0003,D,BikeBH,2026-02-11
BBET0003,D,BikeBH,2026-02-09
BBET0003,D,BikeBH,2026-02-23
BBET0003,D,BikeBH,2026-02-13
BBET0003,D,BikeBH,2026-02-22
BBET0003,D,BikeBH,2026-02-10
BBET0003,D,BikeBH,2026-02-14
BBET0003,D,BikeBH,2026-02-16
BBET0003,D,BikeBH,2026-02-17
BBET0004,B,BikeBH,2026-02-21
BBET0004,B,BikeBH,2026-02-13
BBET0004,B,BikeBH,2026-02-18
BBET0004,B,BikeBH,2026-02-15
BBET0004,B,BikeBH,2026-02-14
BBET0004,B,BikeBH,2026-02-08
BBET0004,B,BikeBH,2026-02-19
BBET0004,B,BikeBH,2026-02-11
BBET0004,B,BikeBH,2026-02-10
BBET0004,B,BikeBH,2026-02-09
BBET0004,B,BikeBH,2026-02-23
BBET0004,B,BikeBH,2026-02-07
BBET0004,B,BikeBH,2026-02-17
BBET0004,B,BikeBH,2026-02-22
BBET0004,B,BikeBH,2026-02-12
BBET0004,B,BikeBH,2026-02-20
BBET0004,B,BikeBH,2026-02-16
BBET0005,D,BikeBH,2026-02-12
BBET0005,D,BikeBH,2026-02-23
BBET0005,D,BikeBH,2026-02-11
BBET0005,D,BikeBH,2026-02-17
BBET0005,D,BikeBH,2026-02-16
BBET0005,D,BikeBH,2026-02-07
BBET0005,D,BikeBH,2026-02-20
BBET0005,D,BikeBH,2026-02-21
BBET0005,D,BikeBH,2026-02-18
BBET0005,D,BikeBH,2026-02-13
BBET0005,D,BikeBH,2026-02-09
BBET0005,D,BikeBH,2026-02-14
BBET0005,D,BikeBH,2026-02-22
BBET0005,D,BikeBH,2026-02-10
BBET0005,D,BikeBH,2026-02-08
BBET0005,D,BikeBH,2026-02-15
BBET0005,D,BikeBH,2026-02-19
BBET0007,D,BikeBH,2026-02-13
BBET0007,D,BikeBH,2026-02-20
BBET0007,D,BikeBH,2026-02-22
BBET0007,D,BikeBH,2026-02-08
BBET0007,D,BikeBH,2026-02-17
BBET0007,D,BikeBH,2026-02-09
BBET0007,D,BikeBH,2026-02-23
BBET0007,D,BikeBH,2026-02-11
BBET0007,D,BikeBH,2026-02-07
BBET0007,D,BikeBH,2026-02-21
BBET0007,D,BikeBH,2026-02-19
BBET0007,D,BikeBH,2026-02-10
BBET0007,D,BikeBH,2026-02-16
BBET0007,D,BikeBH,2026-02-15
BBET0007,D,BikeBH,2026-02-14
BBET0007,D,BikeBH,2026-02-18
BBET0007,D,BikeBH,2026-02-12
BBET0008,A,BikeBH,2026-02-10
BBET0008,A,BikeBH,2026-02-11
BBET0008,A,BikeBH,2026-02-14
BBET0008,A,BikeBH,2026-02-16
BBET0008,A,BikeBH,2026-02-22
BBET0008,A,BikeBH,2026-02-08
BBET0008,A,BikeBH,2026-02-09
BBET0008,A,BikeBH,2026-02-15
BBET0008,A,BikeBH,2026-02-20
BBET0008,A,BikeBH,2026-02-13
BBET0008,A,BikeBH,2026-02-21
BBET0008,A,BikeBH,2026-02-23
BBET0008,A,BikeBH,2026-02-12
BBET0008,A,BikeBH,2026-02-07
BBET0008,A,BikeBH,2026-02-17
BBET0008,A,BikeBH,2026-02-18
BBET0008,A,BikeBH,2026-02-19
BBET0010,A,BikeBH,2026-02-09
BBET0010,A,BikeBH,2026-02-14
BBET0010,A,BikeBH,2026-02-10
BBET0010,A,BikeBH,2026-02-11
BBET0010,A,BikeBH,2026-02-20
BBET0010,A,BikeBH,2026-02-16
BBET0010,A,BikeBH,2026-02-07
BBET0010,A,BikeBH,2026-02-15
BBET0010,A,BikeBH,2026-02-17
BBET0010,A,BikeBH,2026-02-19
BBET0010,A,BikeBH,2026-02-08
BBET0010,A,BikeBH,2026-02-12
BBET0010,A,BikeBH,2026-02-21
BBET0010,A,BikeBH,2026-02-13
BBET0010,A,BikeBH,2026-02-22
BBET0010,A,BikeBH,2026-02-23
BBET0010,A,BikeBH,2026-02-18
BBET0011,B,BikeBH,2026-02-10
BBET0011,B,BikeBH,2026-02-20
BBET0011,B,BikeBH,2026-02-16
BBET0011,B,BikeBH,2026-02-09
BBET0011,B,BikeBH,2026-02-14
BBET0011,B,BikeBH,2026-02-18
BBET0011,B,BikeBH,2026-02-19
BBET0011,B,BikeBH,2026-02-21
BBET0011,B,BikeBH,2026-02-07
BBET0011,B,BikeBH,2026-02-15
