codigo_sku,nome_projeto,segmentacao_prioridade,estoque_atual,consumo_medio_diario,cobertura_dias,acao_ressuprimento,sinal_redistribuicao
BEFI0010,BikeRio,A,89,2,"44,5",estoque saudavel,candidato a redistribuicao
BSN0001,BikeRio,A,981,"24,44","40,13",estoque saudavel,candidato a redistribuicao
BTB0112-1,BikeRio,A,29.500,1.000,"29,5",estoque saudavel,candidato a redistribuicao
BTB0112-2,BikeRio,A,26.083,1.000,"26,08",estoque saudavel,candidato a redistribuicao
BTB0152N,BikeRio,A,4.242,"123,5","34,35",estoque saudavel,candidato a redistribuicao
BBET0189,BikeBH,B,269,14,"19,21",estoque saudavel,candidato a redistribuicao
BBTI0005,BikeSampa,B,100,"3,5","28,57",estoque saudavel,candidato a redistribuicao
BBTI0006-1,BikeRio,B,63,"3,5",18,estoque saudavel,candidato a redistribuicao
BBTI0150,BikeSampa,B,24,"1,17","20,57",estoque saudavel,candidato a redistribuicao
BTB0014N,BikeRio,B,1.051,"46,8","22,46",estoque saudavel,candidato a redistribuicao
BTB0028N,BikeRio,B,1.340,47,"28,51",estoque saudavel,candidato a redistribuicao
BTB0088N,BikeCuritiba,B,280,10,28,estoque saudavel,candidato a redistribuicao
BTB0212,BikePoa,B,423,10,"42,3",estoque saudavel,candidato a redistribuicao
BBTI0049,BikeSampa,C,310,8,"38,75",estoque saudavel,candidato a redistribuicao
BBTI0073,BikeSampa,C,40,"2,17","18,46",estoque saudavel,candidato a redistribuicao
BBTI0073-1,BikeRio,C,37,"1,33","27,75",estoque saudavel,candidato a redistribuicao
BII0005,BikeCuritiba,D,25,1,25,estoque saudavel,candidato a redistribuicao
BTB0031,BikeSSA,D,144,6,24,estoque saudavel,candidato a redistribuicao
BCB0086,BikeRio,sem segmentacao,1.240,35,"35,43",estoque saudavel,candidato a redistribuicao
BCB0377,BikeSSA,sem segmentacao,24,"1,5",16,estoque saudavel,candidato a redistribuicao
BEFN0040-1,BikeRio,sem segmentacao,101,"4,5","22,44",estoque saudavel,candidato a redistribuicao
BOKI0045,BikeSSA,sem segmentacao,179,5,"35,8",estoque saudavel,candidato a redistribuicao
BOKN0009,BikeSSA,sem segmentacao,68,2,34,estoque saudavel,candidato a redistribuicao
BSN0106,BikeSSA,sem segmentacao,69,"2,5","27,6",estoque saudavel,candidato a redistribuicao
BSN0108,BikeRio,sem segmentacao,73,2,"36,5",estoque saudavel,candidato a redistribuicao
BSN0109,BikeSSA,sem segmentacao,54,"2,5","21,6",estoque saudavel,candidato a redistribuicao
BSN0112,BikeRio,sem segmentacao,95,5,19,estoque saudavel,candidato a redistribuicao
BTB0027,BikeRio,sem segmentacao,183,"8,45","21,65",estoque saudavel,candidato a redistribuicao
BTB0059,BikePoa,sem segmentacao,59,2,"29,5",estoque saudavel,candidato a redistribuicao
BTB0170,BikeRio,sem segmentacao,1.045,"37,33","27,99",estoque saudavel,candidato a redistribuicao
ETB0286,BikeSSA,sem segmentacao,95,6,"15,83",estoque saudavel,candidato a redistribuicao
FCB0129,BikeRio,sem segmentacao,32,2,16,estoque saudavel,candidato a redistribuicao
FTB0188,BikeRio,sem segmentacao,45,2,"22,5",estoque saudavel,candidato a redistribuicao
BBTI0002,BikeSampa,A,27,"1,6","16,88",estoque saudavel,sem oportunidade clara
BBTI0004,BikeSampa,A,38,1,38,estoque saudavel,sem oportunidade clara
BBTI0043,BikeSSA,A,36,1,36,estoque saudavel,sem oportunidade clara
BBTI0043,BikeSampa,A,182,"9,33","19,5",estoque saudavel,sem oportunidade clara
BBTI0097,BikeSSA,A,110,5,22,estoque saudavel,sem oportunidade clara
BBTI0097,BikeSampa,A,120,"3,33",36,estoque saudavel,sem oportunidade clara
BBTN0008,BikeSSA,A,51,3,17,estoque saudavel,sem oportunidade clara
BCB0149,BikePE,A,520,30,"17,33",estoque saudavel,sem oportunidade clara
BCB0149,BikePoa,A,176,7,"25,14",estoque saudavel,sem oportunidade clara
BCB0149,BikeSSA,A,625,25,25,estoque saudavel,sem oportunidade clara
BCB0149,BikeSampa,A,222,"14,67","15,14",estoque saudavel,sem oportunidade clara
BCB0178,BikeBSB,A,48,"1,5",32,estoque saudavel,sem oportunidade clara
BCB0239,BikeBSB,A,59,2,"29,5",estoque saudavel,sem oportunidade clara
BCB0239,BikePE,A,600,"14,4","41,67",estoque saudavel,sem oportunidade clara
BCB0239,BikeSSA,A,165,"8,4","19,64",estoque saudavel,sem oportunidade clara
BCB0239,BikeSampa,A,481,"15,33","31,37",estoque saudavel,sem oportunidade clara
BEFI0045,BikeSampa,A,17,1,17,estoque saudavel,sem oportunidade clara
BEFI0048,BikeSampa,A,103,"2,83","36,35",estoque saudavel,sem oportunidade clara
BEFI0049,BikeSampa,A,102,"3,57","28,56",estoque saudavel,sem oportunidade clara
BII0049,BikeSSA,A,126,"6,5","19,38",estoque saudavel,sem oportunidade clara
BSI0003,BikeSSA,A,218,"5,67","38,47",estoque saudavel,sem oportunidade clara
BTB0003,BikePE,A,160,10,16,estoque saudavel,sem oportunidade clara
BTB0004,BikePoa,A,49,"1,8","27,22",estoque saudavel,sem oportunidade clara
BTB0004,BikeRio,A,52,"3,33","15,6",estoque saudavel,sem oportunidade clara
BTB0005,BikePoa,A,36,1,36,estoque saudavel,sem oportunidade clara
BTB0005,BikeSSA,A,136,5,"27,2",estoque saudavel,sem oportunidade clara
BTB0005,BikeSampa,A,52,"2,33","22,29",estoque saudavel,sem oportunidade clara
BTB0013,BikeBSB,A,83,3,"27,67",estoque saudavel,sem oportunidade clara
BTB0032-2,BikePE,A,399,"10,5",38,estoque saudavel,sem oportunidade clara
BTB0032-4,BikeSampa,A,123,3,41,estoque saudavel,sem oportunidade clara
BTB0043,BikePE,A,183,"4,5","40,67",estoque saudavel,sem oportunidade clara
BTB0043,BikeSSA,A,253,"8,8","28,75",estoque saudavel,sem oportunidade clara
BTB0054N,BikePoa,A,90,2,45,estoque saudavel,sem oportunidade clara
BTB0054N,BikeSampa,A,122,"7,75","15,74",estoque saudavel,sem oportunidade clara
BTB0058,BikeRio,A,591,"15,55","38,02",estoque saudavel,sem oportunidade clara
BTB0062,BikePoa,A,74,"3,33","22,2",estoque saudavel,sem oportunidade clara
BTB0062,BikeRio,A,416,15,"27,73",estoque saudavel,sem oportunidade clara
BTB0062,BikeSampa,A,140,4,35,estoque saudavel,sem oportunidade clara
BTB0066,BikePoa,A,282,"17,67","15,96",estoque saudavel,sem oportunidade clara
BTB0071,BikeSampa,A,252,"5,88","42,89",estoque saudavel,sem oportunidade clara
BTB0112-2,BikePE,A,964,36,"26,78",estoque saudavel,sem oportunidade clara
BTB0124,BikeBSB,A,144,"5,43","26,53",estoque saudavel,sem oportunidade clara
BTB0124,BikePE,A,340,20,17,estoque saudavel,sem oportunidade clara
BTB0124,BikeSSA,A,261,"17,17","15,2",estoque saudavel,sem oportunidade clara
BTB0153N,BikePoa,A,148,5,"29,6",estoque saudavel,sem oportunidade clara
BTB0153N,BikeRio,A,1.951,125,"15,61",estoque saudavel,sem oportunidade clara
BTB0153N,BikeSampa,A,96,"4,75","20,21",estoque saudavel,sem oportunidade clara
BBET0065,BikeBH,B,113,3,"37,67",estoque saudavel,sem oportunidade clara
BBTI0023,BikeSampa,B,82,"4,6","17,83",estoque saudavel,sem oportunidade clara
BBTI0059,BikeRio,B,44,1,44,estoque saudavel,sem oportunidade clara
BBTI0100,BikeSampa,B,31,"1,5","20,67",estoque saudavel,sem oportunidade clara
BEFN0147,BikeRio,B,311,"9,67","32,17",estoque saudavel,sem oportunidade clara
BOKI0082,BikeSSA,B,23,1,23,estoque saudavel,sem oportunidade clara
BTB0001,BikePE,B,93,"2,33","39,86",estoque saudavel,sem oportunidade clara
BTB0002,BikePE,B,45,"1,33","33,75",estoque saudavel,sem oportunidade clara
BTB0002,BikeSampa,B,205,"7,13","28,77",estoque saudavel,sem oportunidade clara
BTB0007,BikePE,B,440,10,44,estoque saudavel,sem oportunidade clara
BTB0023,BikeSSA,B,55,3,"18,33",estoque saudavel,sem oportunidade clara
BTB0045,BikeSSA,B,113,5,"22,6",estoque saudavel,sem oportunidade clara
BTB0053,BikeCuritiba,B,23,1,23,estoque saudavel,sem oportunidade clara
BTB0053,BikeSSA,B,277,13,"21,31",estoque saudavel,sem oportunidade clara
BTB0053,BikeSampa,B,84,4,21,estoque saudavel,sem oportunidade clara
BTB0061,BikeRio,B,33,"1,83",18,estoque saudavel,sem oportunidade clara
BTB0067N,BikeRio,B,38,1,38,estoque saudavel,sem oportunidade clara
BTB0067N,BikeSampa,B,61,"1,5","40,67",estoque saudavel,sem oportunidade clara
BTB0069,BikePE,B,69,2,"34,5",estoque saudavel,sem oportunidade clara
BTB0101,BikeCuritiba,B,17,1,17,estoque saudavel,sem oportunidade clara
BTB0101,BikeSSA,B,109,3,"36,33",estoque saudavel,sem oportunidade clara
BTB0125,BikeSampa,B,181,"8,5","21,29",estoque saudavel,sem oportunidade clara
BTB0144,BikeSSA,B,223,"12,33","18,08",estoque saudavel,sem oportunidade clara
BTB0144,BikeSampa,B,682,"15,8","43,16",estoque saudavel,sem oportunidade clara
BTB0225,BikePE,B,23,1,23,estoque saudavel,sem oportunidade clara
BBET0028,BikeBH,C,700,33,"21,21",estoque saudavel,sem oportunidade clara
BBTN0032,BikeRio,C,66,"4,25","15,53",estoque saudavel,sem oportunidade clara
BBTN0047,BikeRio,C,70,"2,5",28,estoque saudavel,sem oportunidade clara
BEFI0061,BikeSampa,C,366,9,"40,67",estoque saudavel,sem oportunidade clara
BEFN0011-1,BikeSampa,C,16,1,16,estoque saudavel,sem oportunidade clara
BEFN0106,BikeRio,C,440,"16,8","26,19",estoque saudavel,sem oportunidade clara
BOKI0098,BikeSSA,C,25,1,25,estoque saudavel,sem oportunidade clara
BSN0002,BikeSampa,C,440,20,22,estoque saudavel,sem oportunidade clara
BTB0029N,BikeSSA,C,303,10,"30,3",estoque saudavel,sem oportunidade clara
BTB0033,BikePE,C,24,1,24,estoque saudavel,sem oportunidade clara
BTB0033,BikeSSA,C,16,1,16,estoque saudavel,sem oportunidade clara
BTB0034,BikePE,C,28,1,28,estoque saudavel,sem oportunidade clara
BTB0036,BikePE,C,32,1,32,estoque saudavel,sem oportunidade clara
BTB0039N,BikeRio,C,85,4,"21,25",estoque saudavel,sem oportunidade clara
BTB0039N,BikeSSA,C,62,"3,33","18,6",estoque saudavel,sem oportunidade clara
BTB0073,BikePE,C,28,1,28,estoque saudavel,sem oportunidade clara
BTB0073,BikeRio,C,211,6,"35,17",estoque saudavel,sem oportunidade clara
BTB0073,BikeSampa,C,32,1,32,estoque saudavel,sem oportunidade clara
BTB0074,BikeSampa,C,22,"1,33","16,5",estoque saudavel,sem oportunidade clara
BTB0095N,BikePE,C,188,6,"31,33",estoque saudavel,sem oportunidade clara
BTB0098,BikeRio,C,944,26,"36,31",estoque saudavel,sem oportunidade clara
BTB0111,BikeCuritiba,C,26,1,26,estoque saudavel,sem oportunidade clara
GUIN0002,BikeBSB,C,37,1,37,estoque saudavel,sem oportunidade clara
GUIN0002,BikePE,C,43,1,43,estoque saudavel,sem oportunidade clara
