codigo_sku,nome_projeto,segmentacao_prioridade,dias_com_ruptura,taxa_ruptura,primeira_data_ruptura,ultima_data_ruptura,qte_eventos_ruptura,status_ultimo_dia
SE1709,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
TX00002,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ATV0094,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ADTO1000,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0213,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0127,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0133,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ADTO1000,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0213,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ADTO1000,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BIN0010,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ADTO1000,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0097,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ADTO2000,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0316,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ADTO2000,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0097,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ADTO2000,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
MCB0069,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ADTO2000,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0205,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ATV0000,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0134,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ATV0002,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
